"id","code","mediaTypeRaw","mediaType","mediaTypeLabel","locationLabel","city","latitude","longitude","rawSize","sizeLabel","widthCm","heightCm","imageUrl","productUrl","styleUrl","locationSource","coordinateSource","source"
"kmz_4781","4781","BILLBOARD","billboard","Billboard","Predstaničné nám.-sm.mesto, Bratislava","Bratislava","48.15770278","17.106175","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/93/000000/901011702.jpg","https://www.billboardy.sk/produkt/4781-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4782","4782","BILLBOARD","billboard","Billboard","ul. Račianská, Bratislava","Bratislava","48.19893333","17.14749167","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/93/000000/901011702.jpg","https://www.billboardy.sk/produkt/4782-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4783","4783","BILLBOARD","billboard","Billboard","Nábrežie generála Svobodu, Bratislava","Bratislava","48.146009","17.076435","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/713/billboard/foto/BA_101.jpg","https://www.billboardy.sk/produkt/4783-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4784","4784","BILLBOARD","billboard","Billboard","Nábrežie generála Svobodu, Bratislava","Bratislava","48.145693","17.076935","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/713/billboard/foto/BA_103.jpg","https://www.billboardy.sk/produkt/4784-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4785","4785","BILLBOARD","billboard","Billboard","Kutlíkova, Bratislava","Bratislava","48.112406","17.125642","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/713/billboard/foto/BA_509.jpg","https://www.billboardy.sk/produkt/4785-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4786","4786","BILLBOARD","billboard","Billboard","Dolnozemská, Bratislava","Bratislava","48.114075","17.129767","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/713/billboard/foto/BA_515.jpg","https://www.billboardy.sk/produkt/4786-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4787","4787","BILLBOARD","billboard","Billboard","Vrakunská/Podunajská, Bratislava","Bratislava","48.13714167","17.19835556","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/93/000000/102031105.jpg","https://www.billboardy.sk/produkt/4787-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4788","4788","BILLBOARD","billboard","Billboard","Bajkalská, Bratislava","Bratislava","48.1511","17.148096","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/713/billboard/foto/BA_237.jpg","https://www.billboardy.sk/produkt/4788-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4789","4789","BILLBOARD","billboard","Billboard","Panónska, Bratislava","Bratislava","48.100888","17.097814","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/713/billboard/foto/BA_523b.jpg","https://www.billboardy.sk/produkt/4789-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
"kmz_4790","4790","BILLBOARD","billboard","Billboard","J.Jonáša, Bratislava","Bratislava","48.22778333","16.99975","510 x 240cm","510 x 240 cm","510","240","https://billsoftprivate.cmedia.cz/repository/93/000000/104030202.jpg","https://www.billboardy.sk/produkt/4790-billboard/","#icon-ci-1","lokalita","kml_point","kmz"
