e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
61283;24;Banská Bystrica;Lučenec;Lovinobaňa;SNP,O;E-571,cesta I/16,sm ZV,BA,2;;48.448007;19.578475
61282;24;Banská Bystrica;Lučenec;Lovinobaňa;SNP,O;E-571,cesta I/16,sm KE,LC,Ľ,2;;48.448007;19.578475
61286;24;Banská Bystrica;Rimavská Sobota;Rimavská Sobota;Cukrovarská,O;InterCora,1, sm východ z Deichman, Dráčik,Pepco, Nay;;48.387363;20.003039
61287;24;Banská Bystrica;Rimavská Sobota;Rimavská Sobota;Cukrovarská,O;InterCora,2, pri TESCO, sm CS GAS;;48.387091;20.00263
61288;24;Banská Bystrica;Rimavská Sobota;Rimavská Sobota;Cukrovarská,O;InterCora,2, pri TESCO,sm Sportisimo, od CS GAS,od TESCO;;48.387091;20.00263
71478;24;Prešov;Levoča;Spišský Štvrtok;Obrancov mieru, J;prejazd obcou, futb.štadión, smer Slov.Raj,2;;49.000254;20.459261
50989;24;Nitra;Topoľčany;Topoľčany;Martina Benku,J;NC Intercora - Benátky,1, kruh.objazd,sm Takko,Dráčik,Deichman,Okay,Pepco,Pet Center;;48.555827;18.179762
50990;24;Nitra;Topoľčany;Topoľčany;Martina Benku,J;NC Intercora - Benátky,2, kruh.objazd,sm Takko,Dráčik,Deichman,Okay,Pepco,Pet Center;;48.555852;18.179716
50997;24;Nitra;Topoľčany;Topoľčany;Martina Benku,J;NC Intercora - Jama,parkovisko, Lidl,DM,KIK,Sportissimo,Vetro plus;;48.556277;18.176816
50988;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Benátky,parkovisko, od Takko,Dráčik, Daichman,Okay,Pepco,Pet center;;48.555816;18.180539
50991;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Jama, 1 od Lidl,DM,KIK,Sportissimo,Vetro plus;;48.556138;18.177745
50992;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Jama, 2 od Lidl,DM,KIK,Sportissimo,Vetro plus;;48.556175;18.177597
50993;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Jama,parkovisko, Lidl,DM,KIK,Sportissimo,Vetro plus;;48.556175;18.177597
50994;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Jama,parkovisko, Lidl,DM,KIK,Sportissimo,Vetro plus;;48.556138;18.177745
50995;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Jama,parkovisko, Lidl,DM,KIK,Sportissimo,Vetro plus;;48.55598;18.177636
50996;24;Nitra;Topoľčany;Topoľčany;Martina Benku,O;NC Intercora - Jama,parkovisko, Lidl,DM,KIK,Sportissimo,Vetro plus;;48.55598;18.177636
51029;24;Trenčín;Trenčín;Trenčín;Gen.Svobodu,J;smer centrum;;48.871919;18.04052
51027;24;Trenčín;Trenčín;Trenčín;Zlatovská,O;smer centrum,stavebniny DEK,OMV;;48.890152;18.010236
51028;24;Trenčín;Trenčín;Trenčín;Zlatovská,O;smer diaľnica,stavebniny DEK,OMV,Ľ;;48.890152;18.010236
