e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
16024;CLV;Banská Bystrica;;Banská Bystrica;Horná;ČSOB,oproti NsP,PRIOR,MÚ;;48.739199;19.155688
16025;CLV;Banská Bystrica;;Banská Bystrica;Horná;ČSOB,oproti NsP,PRIOR,MÚ;;48.739199;19.155688
16026;CLV;Banská Bystrica;;Banská Bystrica;Rudlovská cesta;sm centr,VŠ Akadémia umení;;48.741541;19.151614
16027;CLV;Banská Bystrica;;Banská Bystrica;Rudlovská cesta;sm centr,VŠ Akadémia umení;;48.741541;19.151614
16028;CLV;Banská Bystrica;;Banská Bystrica;Skuteckého;centrum,Akademia umení,konzervatorium Krajský súd;;48.739862;19.15241
16029;CLV;Banská Bystrica;;Banská Bystrica;Skuteckého;centrum,Akademia umení,konzervatorium Krajský súd;;48.739862;19.15241
16030;CLV;Banská Bystrica;;Banská Bystrica;Skuteckého;centrum, Krajský súd,Primabanka základná škola, stredná škola;;48.73818;19.14988
16031;CLV;Banská Bystrica;;Banská Bystrica;Skuteckého;centrum, Krajský súd,Primabanka základná škola, stredná škola;;48.73818;19.14988
16032;CLV;Banská Bystrica;;Banská Bystrica;Horná/nám.Š.Moyzesa;centrum,pešia zóna,pri pošte SLSP,Primabanka,Kooperatíva;;48.736907;19.147513
16033;CLV;Banská Bystrica;;Banská Bystrica;Horná/nám.Š.Moyzesa;centrum,pešia zóna,pri pošte SLSP,Primabanka,Kooperatíva;;48.736907;19.147513
16034;CLV;Banská Bystrica;;Banská Bystrica;Horná/PRIOR;BILLA,DM drogerie,oproti lekárni,sm NsP;;48.73878;19.153467
16035;CLV;Banská Bystrica;;Banská Bystrica;Horná/PRIOR;BILLA,DM drogerie,oproti lekárni,sm Nám.SNP;;48.73878;19.153467
16036;CLV;Banská Bystrica;;Banská Bystrica;nám.Slobody;Dom kultúry,Hotel Lux,sm SAD Tatrabanka;;48.736167;19.156219
16037;CLV;Banská Bystrica;;Banská Bystrica;nám.Slobody;Dom kultúry,Hotel LUX,sm SAD Tatrabanka;;48.736167;19.156219
16040;CLV;Banská Bystrica;;Banská Bystrica;29.augusta;smer železničná stanica,SLSP,základná škola;;48.738227;19.161563
16041;CLV;Banská Bystrica;;Banská Bystrica;29.augusta;smer centrum,SLSP,základná škola;;48.738227;19.161563
